Comment,Designator,Footprint,LCSC Part #
***,R9,R0603,
.1uf,C6,C0603K,
1n,C1,C0603K,
1n4148W-HE3-18,D1,SOD-123,
2k,TRIM1 TRIM2,TRIMPOT-SMD-TC33X,
10k,R1 R14,R0603,
10u,C3,C0603K,
22uf,C4 C5,PANASONIC_C,
100k,R4 R5,R0603,
DMMT3904W-7-F,Q1,SOT65P210X100-6N,
MB1S,B1,SOIC-4,
TL074,U1,TSSOP14,
