Comment,Designator,Footprint,LCSC Part #
.1uf,C7,C0603K,
1M,R2,R0603,
1k,R8,R0603,
2.2n,C2,C0603K,
10k,R7 R12 R13,R0603,
47k,R11,R0603,
100k,R3,R0603,
220k,R10,R0603,
