Designator,Mid X,Mid Y,Layer,Rotation
C2, 1.56,58.46,Top,270.0
C7, 4.76,67.56,Top,180.0
R2, 4.83,56.01,Top,180.0
R3, 2.22,85.81,Top,90.0
R7, 4.78,103.31,Top,180.0
R8, 2.12,92.46,Top,270.0
R10, 1.51,62.59,Top,270.0
R11, 3.53,62.59,Top,90.0
R12, 5.57,62.59,Top,90.0
R13, 6.01,65.81,Top,0.0
